+-----------------+------------------+----------------------+-----------------+--------------------------------------------------------+-----------------------+--------------------------------------------------------+-------------------+-------------------------+-------------------------+
|       Lp.       |      Title       |      Equations       |  Observations   |                 All minimal conflicts                  | All minimal diagnosis |                   Minimal conflicts                    | Minimal diagnosis | Minimal conflicts - GPT | Minimal diagnosis - GPT |
+-----------------+------------------+----------------------+-----------------+--------------------------------------------------------+-----------------------+--------------------------------------------------------+-------------------+-------------------------+-------------------------+
|        1        | Classic polybox  |    a * c = x (M1)    |      a = 2      |                       A1, M1, M2                       |        A1, A2         |                                                        |                   |                         |                         |
|                 |                  |    b * d = y (M2)    |      b = 2      |                       A2, M2, M3                       |        A1, M2         |                                                        |                   |                         |                         |
|                 |                  |    c * e = z (M3)    |      c = 3      |                     A1, A2, M1, M3                     |        A1, M3         |                                                        |                   |                         |                         |
|                 |                  |    x + y = f (A1)    |      d = 3      |                                                        |        A2, M1         |                                                        |                   |                         |                         |
|                 |                  |    y + z = g (A2)    |      e = 2      |                                                        |        A2, M2         |                                                        |                   |                         |                         |
|                 |                  |                      |     f = 12      |                                                        |        M1, M2         |                                                        |                   |                         |                         |
|                 |                  |                      |     g = 12      |                                                        |        M1, M3         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M2, M3         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        2        | Classic polybox  |    a * c = x (M1)    |      a = 2      |                       A1, M1, M2                       |        A1, A2         |                       A2, M2, M3                       |        A2         |                         |                         |
|                 |                  |    b * d = y (M2)    |      b = 2      |                       A2, M2, M3                       |        A1, M2         |                     A1, A2, M1, M3                     |        M3         |                         |                         |
|                 |                  |    c * e = z (M3)    |      c = 3      |                     A1, A2, M1, M3                     |        A1, M3         |                                                        |      A1, M2       |                         |                         |
|                 |                  |    x + y = f (A1)    |      d = 3      |                                                        |        A2, M1         |                                                        |      M1, M2       |                         |                         |
|                 |                  |    y + z = g (A2)    |      e = 2      |                                                        |        A2, M2         |                                                        |                   |                         |                         |
|                 |                  |                      |     f = 12      |                                                        |        M1, M2         |                                                        |                   |                         |                         |
|                 |                  |                      |     g = 10      |                                                        |        M1, M3         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M2, M3         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        3        | Classic polybox  |    a * c = x (M1)    |      a = 2      |                       A1, M1, M2                       |        A1, A2         |                       A1, M1, M2                       |        A1         |                         |                         |
|                 |                  |    b * d = y (M2)    |      b = 2      |                       A2, M2, M3                       |        A1, M2         |                     A1, A2, M1, M3                     |        M1         |                         |                         |
|                 |                  |    c * e = z (M3)    |      c = 3      |                     A1, A2, M1, M3                     |        A1, M3         |                                                        |      A2, M2       |                         |                         |
|                 |                  |    x + y = f (A1)    |      d = 3      |                                                        |        A2, M1         |                                                        |      M2, M3       |                         |                         |
|                 |                  |    y + z = g (A2)    |      e = 2      |                                                        |        A2, M2         |                                                        |                   |                         |                         |
|                 |                  |                      |     f = 10      |                                                        |        M1, M2         |                                                        |                   |                         |                         |
|                 |                  |                      |     g = 12      |                                                        |        M1, M3         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M2, M3         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        4        | Classic polybox  |    a * c = x (M1)    |      a = 2      |                       A1, M1, M2                       |        A1, A2         |                       A1, M1, M2                       |        M2         |                         |                         |
|                 |                  |    b * d = y (M2)    |      b = 2      |                       A2, M2, M3                       |        A1, M2         |                       A2, M2, M3                       |      A1, A2       |                         |                         |
|                 |                  |    c * e = z (M3)    |      c = 3      |                     A1, A2, M1, M3                     |        A1, M3         |                                                        |      A1, M3       |                         |                         |
|                 |                  |    x + y = f (A1)    |      d = 3      |                                                        |        A2, M1         |                                                        |      A2, M1       |                         |                         |
|                 |                  |    y + z = g (A2)    |      e = 2      |                                                        |        A2, M2         |                                                        |      M1, M3       |                         |                         |
|                 |                  |                      |     f = 10      |                                                        |        M1, M2         |                                                        |                   |                         |                         |
|                 |                  |                      |     g = 10      |                                                        |        M1, M3         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M2, M3         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        5        | Classic polybox  |    a * c = x (M1)    |      a = 2      |                       A1, M1, M2                       |        A1, A2         |                       A1, M1, M2                       |      A1, A2       |                         |                         |
|                 |                  |    b * d = y (M2)    |      b = 2      |                       A2, M2, M3                       |        A1, M2         |                       A2, M2, M3                       |      A1, M2       |                         |                         |
|                 |                  |    c * e = z (M3)    |      c = 3      |                     A1, A2, M1, M3                     |        A1, M3         |                     A1, A2, M1, M3                     |      A1, M3       |                         |                         |
|                 |                  |    x + y = f (A1)    |      d = 3      |                                                        |        A2, M1         |                                                        |      A2, M1       |                         |                         |
|                 |                  |    y + z = g (A2)    |      e = 2      |                                                        |        A2, M2         |                                                        |      A2, M2       |                         |                         |
|                 |                  |                      |     f = 10      |                                                        |        M1, M2         |                                                        |      M1, M2       |                         |                         |
|                 |                  |                      |     g = 14      |                                                        |        M1, M3         |                                                        |      M1, M3       |                         |                         |
|                 |                  |                      |                 |                                                        |        M2, M3         |                                                        |      M2, M3       |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        6        | Inverted polybox |    a + b = x (A1)    |     a = -1      |                       A1, A2, M1                       |          A1           |                                                        |                   |                         |                         |
|                 |                  |    c + d = y (A2)    |      b = 1      |                                                        |          A2           |                                                        |                   |                         |                         |
|                 |                  |    x * y = f (M1)    |      c = 1      |                                                        |          M1           |                                                        |                   |                         |                         |
|                 |                  |                      |      d = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                  |                      |      f = 1      |                                                        |                       |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        7        | Nine M and six A |   a * c = x01 (M1)   |      a = 1      |                   A1, A5, M1, M2, M7                   |      A1, A2, A4       |               A2, A3, M2, M3, M4, M5, M9               |        A2         |                         |                         |
|                 |                  |   b * d = x02 (M2)   |      b = 1      |                   A4, A6, M5, M6, M8                   |      A1, A2, A6       |         A1, A2, A3, A5, M1, M3, M4, M5, M7, M9         |        A3         |                         |                         |
|                 |                  |   c * e = x03 (M3)   |      c = 1      |               A2, A3, M2, M3, M4, M5, M9               |      A1, A2, M5       |         A2, A3, A4, A6, M2, M3, M4, M6, M8, M9         |        M3         |                         |                         |
|                 |                  |   f * h = x04 (M4)   |      d = 1      |         A1, A2, A3, A5, M1, M3, M4, M5, M7, M9         |      A1, A2, M6       |       A1, A2, A3, A5, M1, M2, M3, M4, M5, M7, M9       |        M4         |                         |                         |
|                 |                  |   g * i = x05 (M5)   |      e = 1      |         A2, A3, A4, A6, M2, M3, M4, M6, M8, M9         |      A1, A2, M8       |       A2, A3, A4, A6, M2, M3, M4, M5, M6, M8, M9       |        M9         |                         |                         |
|                 |                  |   h * j = x06 (M6)   |      f = 1      |       A1, A2, A3, A5, M1, M2, M3, M4, M5, M7, M9       |      A1, A3, A4       |   A1, A2, A3, A4, A5, A6, M1, M3, M4, M6, M7, M8, M9   |      A1, M2       |                         |                         |
|                 |                  |   k * m = x07 (M7)   |      g = 1      |       A2, A3, A4, A6, M2, M3, M4, M5, M6, M8, M9       |      A1, A3, A6       | A1, A2, A3, A4, A5, A6, M1, M2, M3, M4, M6, M7, M8, M9 |      A4, M5       |                         |                         |
|                 |                  | x01 + x02 = x08 (A1) |      h = 1      |   A1, A2, A3, A4, A5, A6, M1, M3, M4, M6, M7, M8, M9   |      A1, A3, M5       | A1, A2, A3, A4, A5, A6, M1, M3, M4, M5, M6, M7, M8, M9 |      A5, M2       |                         |                         |
|                 |                  | x02 + x03 = x09 (A2) |      i = 1      | A1, A2, A3, A4, A5, A6, M1, M2, M3, M4, M6, M7, M8, M9 |      A1, A3, M6       |                                                        |      A6, M5       |                         |                         |
|                 |                  | x04 + x05 = x10 (A3) |      j = 1      | A1, A2, A3, A4, A5, A6, M1, M3, M4, M5, M6, M7, M8, M9 |      A1, A3, M8       |                                                        |      M1, M2       |                         |                         |
|                 |                  | x05 + x06 = x11 (A4) |      k = 1      |                                                        |      A1, A4, M2       |                                                        |      M2, M7       |                         |                         |
|                 |                  |   n * o = x12 (M8)   |      m = 1      |                                                        |      A1, A4, M3       |                                                        |      M5, M6       |                         |                         |
|                 |                  |  x07 + x08 = p (A5)  |      n = 1      |                                                        |      A1, A4, M4       |                                                        |      M5, M8       |                         |                         |
|                 |                  |  x09 * x10 = q (M9)  |      o = 1      |                                                        |      A1, A4, M5       |                                                        |                   |                         |                         |
|                 |                  |  x11 + x12 = r (A6)  |      p = 3      |                                                        |      A1, A4, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |      q = 3      |                                                        |      A1, A6, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |      r = 3      |                                                        |      A1, A6, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, A6, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, A6, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, A6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M2, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M2, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M3, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M3, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M3, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M4, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M4, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M4, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M5, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M8, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A4, A5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A4, M1       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A4, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A4, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A5, A6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A5, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A6, M1       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A6, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M1, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M1, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M1, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M2, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M2, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A4, A5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A4, M1       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A4, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A4, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A5, A6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A5, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A6, M1       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A6, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M1, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M1, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M1, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M2, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M2, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, A5, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, A5, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, A5, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, A5, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, A5, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M1, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M1, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M1, M4       |                                                        |                   |                         |                         |
