+-----------------+-------------------------+---------------------+-----------------+-----------------------+-----------------------+-------------------+-------------------+-------------------------+-------------------------+
|       Lp.       |          Title          |      Equations      |  Observations   | All minimal conflicts | All minimal diagnosis | Minimal conflicts | Minimal diagnosis | Minimal conflicts - GPT | Minimal diagnosis - GPT |
+-----------------+-------------------------+---------------------+-----------------+-----------------------+-----------------------+-------------------+-------------------+-------------------------+-------------------------+
|        1        | Example 5 mixed A and M |   A1: a + b = x01   |      a = 1      |      A2, A4, M2       |        A1, A2         |                   |                   |                         |                         |
|                 |                         |   M1: b * c = x02   |      b = 1      |    A1, A3, M1, M3     |        A1, A4         |                   |                   |                         |                         |
|                 |                         |   M2: c * d = x03   |      c = 1      |                       |        A1, M2         |                   |                   |                         |                         |
|                 |                         |   A2: d + e = x04   |      d = 1      |                       |        A2, A3         |                   |                   |                         |                         |
|                 |                         | A3: x01 + x02 = x05 |      e = 1      |                       |        A2, M1         |                   |                   |                         |                         |
|                 |                         |  A4: x03 + x04 = g  |      f = 1      |                       |        A2, M3         |                   |                   |                         |                         |
|                 |                         |   M3: x05 * f = h   |      g = 3      |                       |        A3, A4         |                   |                   |                         |                         |
|                 |                         |                     |      h = 3      |                       |        A3, M2         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        A4, M1         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        A4, M3         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        M1, M2         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        M2, M3         |                   |                   |                         |                         |
| --------------- |     ---------------     |   ---------------   | --------------- |    ---------------    |    ---------------    |  ---------------  |  ---------------  |     ---------------     |     ---------------     |
|        2        | Example 5 mixed A and M |   A1: a + b = x01   |      a = 1      |      A2, A4, M2       |        A1, A2         |    A2, A4, M2     |        A2         |                         |                         |
|                 |                         |   M1: b * c = x02   |      b = 1      |    A1, A3, M1, M3     |        A1, A4         |                   |        A4         |                         |                         |
|                 |                         |   M2: c * d = x03   |      c = 1      |                       |        A1, M2         |                   |        M2         |                         |                         |
|                 |                         |   A2: d + e = x04   |      d = 1      |                       |        A2, A3         |                   |                   |                         |                         |
|                 |                         | A3: x01 + x02 = x05 |      e = 1      |                       |        A2, M1         |                   |                   |                         |                         |
|                 |                         |  A4: x03 + x04 = g  |      f = 1      |                       |        A2, M3         |                   |                   |                         |                         |
|                 |                         |   M3: x05 * f = h   |      g = 4      |                       |        A3, A4         |                   |                   |                         |                         |
|                 |                         |                     |      h = 3      |                       |        A3, M2         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        A4, M1         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        A4, M3         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        M1, M2         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        M2, M3         |                   |                   |                         |                         |
| --------------- |     ---------------     |   ---------------   | --------------- |    ---------------    |    ---------------    |  ---------------  |  ---------------  |     ---------------     |     ---------------     |
|        3        | Example 5 mixed A and M |   A1: a + b = x01   |      a = 1      |      A2, A4, M2       |        A1, A2         |    A2, A4, M2     |      A1, A2       |                         |                         |
|                 |                         |   M1: b * c = x02   |      b = 1      |    A1, A3, M1, M3     |        A1, A4         |  A1, A3, M1, M3   |      A1, A4       |                         |                         |
|                 |                         |   M2: c * d = x03   |      c = 1      |                       |        A1, M2         |                   |      A1, M2       |                         |                         |
|                 |                         |   A2: d + e = x04   |      d = 1      |                       |        A2, A3         |                   |      A2, A3       |                         |                         |
|                 |                         | A3: x01 + x02 = x05 |      e = 1      |                       |        A2, M1         |                   |      A2, M1       |                         |                         |
|                 |                         |  A4: x03 + x04 = g  |      f = 1      |                       |        A2, M3         |                   |      A2, M3       |                         |                         |
|                 |                         |   M3: x05 * f = h   |      g = 4      |                       |        A3, A4         |                   |      A3, A4       |                         |                         |
|                 |                         |                     |      h = 4      |                       |        A3, M2         |                   |      A3, M2       |                         |                         |
|                 |                         |                     |                 |                       |        A4, M1         |                   |      A4, M1       |                         |                         |
|                 |                         |                     |                 |                       |        A4, M3         |                   |      A4, M3       |                         |                         |
|                 |                         |                     |                 |                       |        M1, M2         |                   |      M1, M2       |                         |                         |
|                 |                         |                     |                 |                       |        M2, M3         |                   |      M2, M3       |                         |                         |
| --------------- |     ---------------     |   ---------------   | --------------- |    ---------------    |    ---------------    |  ---------------  |  ---------------  |     ---------------     |     ---------------     |
|        4        | Example 5 mixed A and M |   A1: a + b = x01   |      a = 1      |      A2, A4, M2       |        A1, A2         |  A1, A3, M1, M3   |        A1         |                         |                         |
|                 |                         |   M1: b * c = x02   |      b = 1      |    A1, A3, M1, M3     |        A1, A4         |                   |        A3         |                         |                         |
|                 |                         |   M2: c * d = x03   |      c = 1      |                       |        A1, M2         |                   |        M1         |                         |                         |
|                 |                         |   A2: d + e = x04   |      d = 1      |                       |        A2, A3         |                   |        M3         |                         |                         |
|                 |                         | A3: x01 + x02 = x05 |      e = 1      |                       |        A2, M1         |                   |                   |                         |                         |
|                 |                         |  A4: x03 + x04 = g  |      f = 1      |                       |        A2, M3         |                   |                   |                         |                         |
|                 |                         |   M3: x05 * f = h   |      g = 3      |                       |        A3, A4         |                   |                   |                         |                         |
|                 |                         |                     |      h = 4      |                       |        A3, M2         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        A4, M1         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        A4, M3         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        M1, M2         |                   |                   |                         |                         |
|                 |                         |                     |                 |                       |        M2, M3         |                   |                   |                         |                         |
+-----------------+-------------------------+---------------------+-----------------+-----------------------+-----------------------+-------------------+-------------------+-------------------------+-------------------------+
