Lp.;Title;Equations;Observations;All minimal conflicts;All minimal diagnosis;Minimal conflicts;Minimal diagnosis;Minimal conflicts - GPT;Minimal diagnosis - GPT
1;Example 2 classic polybox;"M1: a * c = x01
M2: b * d = x02
M3: c * e = x03
A1: x01 + x02 = f
A2: x02 + x03 = g";"a = 2
b = 2
c = 3
d = 3
e = 2
f = 12
g = 12";"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";"A1, A2
A1, M2
A1, M3
A2, M1
A2, M2
M1, M2
M1, M3
M2, M3";;;;
2;Example 2 classic polybox;"M1: a * c = x01
M2: b * d = x02
M3: c * e = x03
A1: x01 + x02 = f
A2: x02 + x03 = g";"a = 2
b = 2
c = 3
d = 3
e = 2
f = 12
g = 10";"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";"A1, A2
A1, M2
A1, M3
A2, M1
A2, M2
M1, M2
M1, M3
M2, M3";"A2, M2, M3
A1, A2, M1, M3";"A2
M3
A1, M2
M1, M2";"A2, M2, M3
A1, A2, M1, M3";
3;Example 2 classic polybox;"M1: a * c = x01
M2: b * d = x02
M3: c * e = x03
A1: x01 + x02 = f
A2: x02 + x03 = g";"a = 2
b = 2
c = 3
d = 3
e = 2
f = 10
g = 12";"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";"A1, A2
A1, M2
A1, M3
A2, M1
A2, M2
M1, M2
M1, M3
M2, M3";"A1, M1, M2
A1, A2, M1, M3";"A1
M1
A2, M2
M2, M3";"A1, M1, M2
A1, A2, M1, M3";
4;Example 2 classic polybox;"M1: a * c = x01
M2: b * d = x02
M3: c * e = x03
A1: x01 + x02 = f
A2: x02 + x03 = g";"a = 2
b = 2
c = 3
d = 3
e = 2
f = 10
g = 10";"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";"A1, A2
A1, M2
A1, M3
A2, M1
A2, M2
M1, M2
M1, M3
M2, M3";"A1, M1, M2
A2, M2, M3";"M2
A1, A2
A1, M3
A2, M1
M1, M3";"A1, M1, M2
A2, M2, M3";
5;Example 2 classic polybox;"M1: a * c = x01
M2: b * d = x02
M3: c * e = x03
A1: x01 + x02 = f
A2: x02 + x03 = g";"a = 2
b = 2
c = 3
d = 3
e = 2
f = 10
g = 14";"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";"A1, A2
A1, M2
A1, M3
A2, M1
A2, M2
M1, M2
M1, M3
M2, M3";"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";"A1, A2
A1, M2
A1, M3
A2, M1
A2, M2
M1, M2
M1, M3
M2, M3";"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";
6;Example 3 only A;"A1: a + b = x01
A2: b + c = x02
A3: c + d = x03
A4: d + e = x04
A5: x01 + x02 = x05
A6: x03 + x04 = g
A7: x05 + f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 4
h = 5";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";;;;
7;Example 3 only A;"A1: a + b = x01
A2: b + c = x02
A3: c + d = x03
A4: d + e = x04
A5: x01 + x02 = x05
A6: x03 + x04 = g
A7: x05 + f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 5
h = 5";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";A3, A4, A6;"A3
A4
A6";A3, A4, A6;
8;Example 3 only A;"A1: a + b = x01
A2: b + c = x02
A3: c + d = x03
A4: d + e = x04
A5: x01 + x02 = x05
A6: x03 + x04 = g
A7: x05 + f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 4
h = 4";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";A1, A2, A5, A7;"A1
A2
A5
A7";A1, A2, A5, A7;
9;Example 3 only A;"A1: a + b = x01
A2: b + c = x02
A3: c + d = x03
A4: d + e = x04
A5: x01 + x02 = x05
A6: x03 + x04 = g
A7: x05 + f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 5
h = 4";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";"A3, A4, A6
A1, A2, A5, A7";
10;Example 4 only M;"M1: a * b = x01
M2: b * c = x02
M3: c * d = x03
M4: d * e = x04
M5: x01 * x02 = x05
M6: x03 * x04 = g
M7: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";;;"M3, M4, M6
M1, M2, M5, M7";
11;Example 4 only M;"M1: a * b = x01
M2: b * c = x02
M3: c * d = x03
M4: d * e = x04
M5: x01 * x02 = x05
M6: x03 * x04 = g
M7: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 2";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";M1, M2, M5, M7;"M1
M2
M5
M7";"M3, M4, M6
M1, M2, M5, M7";
12;Example 4 only M;"M1: a * b = x01
M2: b * c = x02
M3: c * d = x03
M4: d * e = x04
M5: x01 * x02 = x05
M6: x03 * x04 = g
M7: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 2
h = 1";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";M3, M4, M6;"M3
M4
M6";"M3, M4, M6
M1, M2, M5, M7";
13;Example 4 only M;"M1: a * b = x01
M2: b * c = x02
M3: c * d = x03
M4: d * e = x04
M5: x01 * x02 = x05
M6: x03 * x04 = g
M7: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 2
h = 2";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";"M3, M4, M6
M1, M2, M5, M7";
