Lp.;Title;Equations;Observations;All minimal conflicts;All minimal diagnosis;All minimal conflicts - GPT
1;Example 0;A1: a + b = c;"a = 1
b = 1
c = 2";A1;A1;A1
2;Example 1 inverted polybox;"A1: a + b = x01
A2: c + d = x02
M1: x01 * x02 = e";"a = 1
b = 1
c = 1
d = 1
e = 2";A1, A2, M1;A1, A2, M1;A1, A2, M1
3;Example 2 classic polybox;"M1: a * c = x01
M2: b * d = x02
M3: c * e = x03
A1: x01 + x02 = f
A2: x02 + x03 = g";"a = 2
b = 2
c = 3
d = 3
e = 2
f = 12
g = 12";"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";"A1, A2
A1, M2
A1, M3
A2, M1
A2, M2
M1, M2
M1, M3
M2, M3";"M1, M2, A1
M2, M3, A2
M1, M3, A1, A2"
4;Example 3 only A;"A1: a + b = x01
A2: b + c = x02
A3: c + d = x03
A4: d + e = x04
A5: x01 + x02 = x05
A6: x03 + x04 = g
A7: x05 + f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 4
h = 5";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";"A3, A4, A6
A1, A2, A5, A7"
5;Example 4 only M;"M1: a * b = x01
M2: b * c = x02
M3: c * d = x03
M4: d * e = x04
M5: x01 * x02 = x05
M6: x03 * x04 = g
M7: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 2
h = 1";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";"M3, M4, M6
M1, M2, M5, M7"
6;Example 5 mixed A and M;"A1: a + b = x01
M1: b * c = x02
M2: c * d = x03
A2: d + e = x04
A3: x01 + x02 = x05
A4: x03 + x04 = g
M3: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 3
h = 3";"A2, A4, M2
A1, A3, M1, M3";"A1, A2
A1, A4
A1, M2
A2, A3
A2, M1
A2, M3
A3, A4
A3, M2
A4, M1
A4, M3
M1, M2
M2, M3";"M2, A2, A4
A1, M1, A3, M3"
7;Example 6;"A1: a + b = x01
A2: d + e = x02
A3: g + h = x03
M1: c * x01 = x04
M2: f * x02 = x05
M3: i * x03 = x06
A4: x04 + x05 = j
M4: x05 * x06 = k";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 1
j = 4
k = 4";"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";"A1, A2
A1, A3
A1, M2
A1, M3
A1, M4
A2, A3
A2, A4
A2, M1
A2, M3
A2, M4
A3, A4
A3, M1
A3, M2
A4, M2
A4, M3
A4, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";"A1, A2, M1, M2, A4
A2, A3, M2, M3, M4
A1, A3, M1, M3, A4, M4"
8;Example 7;"A1: a + b = x02
M1: c * d = x01
M2: e * x01 = x03
A2: x02 + x03 = x04
M3: f * x04 = h
M4: x04 * g = i";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 3
i = 3";"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";"A1, M3
A1, M4
A2, M3
A2, M4
M1, M3
M1, M4
M2, M3
M2, M4
M3, M4";"M3, M4
A1, M1, M2, A2, M3
A1, M1, M2, A2, M4"
9;Example 8;"A1: a + b = x01
M1: b * c = x02
A2: c + d = x03
M2: d * e = x04
M3: b * x02 = x05
A3: d + x04 = x06
A4: x01 + x05 = x07
M4: x03 * x06 = x08
M5: f * x07 = h
A5: x07 + x08 = i
A6: g + x08 = j";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 4
i = 7
j = 5";"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";"A1, A2, A5
A1, A2, A6
A1, A2, M5
A1, A3, A5
A1, A3, A6
A1, A3, M5
A1, A5, A6
A1, A5, M2
A1, A5, M4
A1, A6, M2
A1, A6, M4
A1, A6, M5
A1, M2, M5
A1, M4, M5
A2, A4, A5
A2, A4, A6
A2, A4, M5
A2, A5, M1
A2, A5, M3
A2, A5, M5
A2, A6, M1
A2, A6, M3
A2, A6, M5
A2, M1, M5
A2, M3, M5
A3, A4, A5
A3, A4, A6
A3, A4, M5
A3, A5, M1
A3, A5, M3
A3, A5, M5
A3, A6, M1
A3, A6, M3
A3, A6, M5
A3, M1, M5
A3, M3, M5
A4, A5, A6
A4, A5, M2
A4, A5, M4
A4, A6, M2
A4, A6, M4
A4, A6, M5
A4, M2, M5
A4, M4, M5
A5, A6, M1
A5, A6, M3
A5, A6, M5
A5, M1, M2
A5, M1, M4
A5, M2, M3
A5, M2, M5
A5, M3, M4
A5, M4, M5
A6, M1, M2
A6, M1, M4
A6, M1, M5
A6, M2, M3
A6, M2, M5
A6, M3, M4
A6, M3, M5
A6, M4, M5
M1, M2, M5
M1, M4, M5
M2, M3, M5
M3, M4, M5";"M5, A5, A6
A1, M1, M3, A4, M5
A2, M2, A3, M4, A6
A1, M1, M3, A4, A5, A6
A2, M2, A3, M4, M5, A5
A1, M1, A2, M2, M3, A3, A4, M4, A5"
10;Example 9 nine M and six A;"M1: a * c = x01
M2: b * d = x02
M3: c * e = x03
M4: f * h = x04
M5: g * i = x05
M6: h * j = x06
M7: k * m = x07
A1: x01 + x02 = x08
A2: x02 + x03 = x09
A3: x04 + x05 = x10
A4: x05 + x06 = x11
M8: n * o = x12
A5: x07 + x08 = p
M9: x09 * x10 = q
A6: x11 + x12 = r";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 1
j = 1
k = 1
m = 1
n = 1
o = 1
p = 3
q = 3
r = 3";"A1, A5, M1, M2, M7
A4, A6, M5, M6, M8
A2, A3, M2, M3, M4, M5, M9
A1, A2, A3, A5, M1, M3, M4, M5, M7, M9
A2, A3, A4, A6, M2, M3, M4, M6, M8, M9
A1, A2, A3, A4, A5, A6, M1, M3, M4, M6, M7, M8, M9";"A1, A2, A4
A1, A2, A6
A1, A2, M5
A1, A2, M6
A1, A2, M8
A1, A3, A4
A1, A3, A6
A1, A3, M5
A1, A3, M6
A1, A3, M8
A1, A4, M2
A1, A4, M3
A1, A4, M4
A1, A4, M5
A1, A4, M9
A1, A6, M2
A1, A6, M3
A1, A6, M4
A1, A6, M5
A1, A6, M9
A1, M2, M5
A1, M2, M6
A1, M2, M8
A1, M3, M5
A1, M3, M6
A1, M3, M8
A1, M4, M5
A1, M4, M6
A1, M4, M8
A1, M5, M6
A1, M5, M8
A1, M5, M9
A1, M6, M9
A1, M8, M9
A2, A4, A5
A2, A4, M1
A2, A4, M2
A2, A4, M7
A2, A5, A6
A2, A5, M5
A2, A5, M6
A2, A5, M8
A2, A6, M1
A2, A6, M2
A2, A6, M7
A2, M1, M5
A2, M1, M6
A2, M1, M8
A2, M2, M5
A2, M2, M6
A2, M2, M8
A2, M5, M7
A2, M6, M7
A2, M7, M8
A3, A4, A5
A3, A4, M1
A3, A4, M2
A3, A4, M7
A3, A5, A6
A3, A5, M5
A3, A5, M6
A3, A5, M8
A3, A6, M1
A3, A6, M2
A3, A6, M7
A3, M1, M5
A3, M1, M6
A3, M1, M8
A3, M2, M5
A3, M2, M6
A3, M2, M8
A3, M5, M7
A3, M6, M7
A3, M7, M8
A4, A5, M2
A4, A5, M3
A4, A5, M4
A4, A5, M5
A4, A5, M9
A4, M1, M2
A4, M1, M3
A4, M1, M4
A4, M1, M5
A4, M1, M9
A4, M2, M3
A4, M2, M4
A4, M2, M5
A4, M2, M7
A4, M2, M9
A4, M3, M7
A4, M4, M7
A4, M5, M7
A4, M7, M9
A5, A6, M2
A5, A6, M3
A5, A6, M4
A5, A6, M5
A5, A6, M9
A5, M2, M5
A5, M2, M6
A5, M2, M8
A5, M3, M5
A5, M3, M6
A5, M3, M8
A5, M4, M5
A5, M4, M6
A5, M4, M8
A5, M5, M6
A5, M5, M8
A5, M5, M9
A5, M6, M9
A5, M8, M9
A6, M1, M2
A6, M1, M3
A6, M1, M4
A6, M1, M5
A6, M1, M9
A6, M2, M3
A6, M2, M4
A6, M2, M5
A6, M2, M7
A6, M2, M9
A6, M3, M7
A6, M4, M7
A6, M5, M7
A6, M7, M9
M1, M2, M5
M1, M2, M6
M1, M2, M8
M1, M3, M5
M1, M3, M6
M1, M3, M8
M1, M4, M5
M1, M4, M6
M1, M4, M8
M1, M5, M6
M1, M5, M8
M1, M5, M9
M1, M6, M9
M1, M8, M9
M2, M3, M5
M2, M3, M6
M2, M3, M8
M2, M4, M5
M2, M4, M6
M2, M4, M8
M2, M5, M6
M2, M5, M7
M2, M5, M8
M2, M5, M9
M2, M6, M7
M2, M6, M9
M2, M7, M8
M2, M8, M9
M3, M5, M7
M3, M6, M7
M3, M7, M8
M4, M5, M7
M4, M6, M7
M4, M7, M8
M5, M6, M7
M5, M7, M8
M5, M7, M9
M6, M7, M9
M7, M8, M9";"M1, M2, M7, A1, A5
M5, M6, A4, M8, A6
M2, M3, M4, M5, A2, A3, M9
M1, M3, M4, M5, M7, A1, A2, A3, A5, M9
M2, M3, M4, M6, A2, A3, A4, M8, M9, A6
M1, M3, M4, M6, M7, A1, A2, A3, A4, M8, A5, M9, A6"
