CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT
0;0;0;0;1,0;;2;0;2;0;0,0;"A1, M1, M2
A1, A2, M1, M3";0;0;0;0;1,0;;0;0;0;0;1,0;;3;0;3;0;0,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;0;3;0;0,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;0;3;0;0,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;0;3;0;0,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";2;0;2;0;0,0;"A1, M1, M2
A1, A2, M1, M3";0;0;0;0;1,0;
2;2;0;0;1,0;"A2, M2, M3
A1, A2, M1, M3";2;2;0;0;1,0;"A2, M2, M3
A1, A2, M1, M3";2;2;0;0;1,0;"A2, M2, M3
A1, A2, M1, M3";2;2;0;0;1,0;"A2, M2, M3
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";2;2;0;0;1,0;"A2, M2, M3
A1, A2, M1, M3";2;2;0;0;1,0;"A2, M2, M3
A1, A2, M1, M3"
2;2;0;0;1,0;"A1, M1, M2
A1, A2, M1, M3";2;2;0;0;1,0;"A1, M1, M2
A1, A2, M1, M3";2;2;0;0;1,0;"A1, M1, M2
A1, A2, M1, M3";2;2;0;0;1,0;"A1, M1, M2
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";2;2;0;0;1,0;"A1, M1, M2
A1, A2, M1, M3";2;2;0;0;1,0;"A1, M1, M2
A1, A2, M1, M3"
2;2;0;0;1,0;"A1, M1, M2
A2, M2, M3";2;2;0;0;1,0;"A1, M1, M2
A2, M2, M3";2;2;0;0;1,0;"A1, M1, M2
A2, M2, M3";2;2;0;0;1,0;"A1, M1, M2
A2, M2, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";2;2;0;0;1,0;"A1, M1, M2
A2, M2, M3";2;2;0;0;1,0;"A1, M1, M2
A2, M2, M3"
3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3"
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;2;0;2;0;0,0;"A3, A4, A6
A1, A2, A5, A7";2;0;2;0;0,0;"A3, A4, A6
A1, A2, A5, A7";2;0;2;0;0,0;"A3, A4, A6
A1, A2, A5, A7";2;0;2;0;0,0;"A3, A4, A6
A1, A2, A5, A7";0;0;0;0;1,0;;0;0;0;0;1,0;
1;1;0;0;1,0;A3, A4, A6;1;1;0;0;1,0;A3, A4, A6;1;1;0;0;1,0;A3, A4, A6;1;1;0;0;1,0;A3, A4, A6;2;1;1;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;1;1;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;1;1;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;1;1;0;1,0;"A3, A4, A6
A1, A2, A5, A7";1;1;0;0;1,0;A3, A4, A6;1;1;0;0;1,0;A3, A4, A6
1;1;0;0;1,0;A1, A2, A5, A7;1;1;0;0;1,0;A1, A2, A5, A7;1;1;0;0;1,0;A1, A2, A5, A7;1;1;0;0;1,0;A1, A2, A5, A7;2;1;1;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;1;1;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;1;1;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;1;1;0;1,0;"A3, A4, A6
A1, A2, A5, A7";1;1;0;0;1,0;A1, A2, A5, A7;1;1;0;0;1,0;A1, A2, A5, A7
2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7";2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7"
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;2;0;2;0;0,0;"M3, M4, M6
M1, M2, M5, M7";2;0;2;0;0,0;"M3, M4, M6
M1, M2, M5, M7";2;0;2;0;0,0;"M3, M4, M6
M1, M2, M5, M7";2;0;2;0;0,0;"M3, M4, M6
M1, M2, M5, M7";0;0;0;0;1,0;;0;0;0;0;1,0;
