CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT
3;0;3;0;0,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3"
3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3"
3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3"
3;2;1;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3"
3;3;0;0;1,0;"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3"
2;0;2;0;0,0;"A3, A4, A6
A1, A2, A5, A7"
2;1;1;0;1,0;"A3, A4, A6
A1, A2, A5, A7"
2;1;1;0;1,0;"A3, A4, A6
A1, A2, A5, A7"
2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7"
2;0;2;0;0,0;"M3, M4, M6
M1, M2, M5, M7"
2;1;1;0;1,0;"M3, M4, M6
M1, M2, M5, M7"
2;1;1;0;1,0;"M3, M4, M6
M1, M2, M5, M7"
2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7"
2;0;2;0;0,0;"A2, A4, M2
A1, A3, M1, M3"
2;1;1;0;1,0;"A2, A4, M2
A1, A3, M1, M3"
2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3"
2;1;1;0;1,0;"A2, A4, M2
A1, A3, M1, M3"
3;0;3;0;0,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4"
3;2;1;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4"
3;2;1;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4"
3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4"
3;0;3;0;0,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4"
3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4"
3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4"
3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4"
