CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;MSO -GPT
0;0;0;3;0,0;No JSON
0;0;0;2;0,0;No JSON
2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7"
0;0;0;2;0,0;No JSON
1;1;0;2;0,3333333333333333;A2, A3, M2, M3, M4
1;1;0;2;0,3333333333333333;M3, M4
0;0;0;6;0,0;No JSON
0;0;0;6;0,0;No JSON
0;0;0;1;0,0;No JSON
0;0;0;1;0,0;No JSON
0;0;0;3;0,0;No JSON
0;0;0;2;0,0;No JSON
0;0;0;2;0,0;No JSON
0;0;0;2;0,0;No JSON
0;0;0;3;0,0;No JSON
0;0;0;3;0,0;No JSON
0;0;0;6;0,0;No JSON
0;0;0;6;0,0;No JSON
1;1;0;2;0,3333333333333333;M2, M3, M4
0;0;0;3;0,0;No JSON
0;0;0;1;0,0;No JSON
0;0;0;1;0,0;No JSON
1;1;0;0;1,0;A1, A2, M1
