CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT
0;4;0;4;0,0;"M2, A2
M2, M3
M1
A1";0;4;0;4;0,0;"M1
M2, M3
M2, A2
A1";0;4;0;4;0,0;"M2, A2
A1
M1
M2, M3";0;4;0;4;0,0;"M1
A1
M2, M3
M2, A2";0;4;0;4;0,0;"M1
M3, M2
A1
A2, M2";0;4;0;4;0,0;"M2, M3
M1
M2, A2
A1";0;4;0;4;0,0;"M1
A1
M2, M3
M2, A2";0;4;0;4;0,0;"M2, M3
M1
A1
M2, A2";0;4;0;4;0,0;"M2, M3
M2, A2
M1
A1";0;1;0;1;0,0;No JSON
4;4;4;0;1,0;"A2
M3
M2, M1
M2, A1";4;4;4;0;1,0;"A2
M2, A1
M3
M2, M1";4;4;4;0;1,0;"A2
M2, A1
M2, M1
M3";4;4;4;0;1,0;"A2
M3
M2, A1
M2, M1";4;4;4;0;1,0;"A2
M3
A1, M2
M1, M2";4;4;4;0;1,0;"M2, A1
M3
A2
M2, M1";4;4;4;0;1,0;"A2
M3
M2, A1
M2, M1";4;4;4;0;1,0;"M2, A1
M3
M2, M1
A2";4;4;4;0;1,0;"M2, A1
A2
M3
M2, M1";4;1;0;1;0,0;OpenAI Error
4;4;4;0;1,0;"M2, A2
M2, M3
M1
A1";4;4;4;0;1,0;"M1
M2, M3
M2, A2
A1";4;4;4;0;1,0;"M2, A2
A1
M1
M2, M3";4;4;4;0;1,0;"A1
M1
M2, A2
M2, M3";4;4;4;0;1,0;"M1
A2, M2
A1
M3, M2";4;4;4;0;1,0;"M2, M3
M1
M2, A2
A1";4;4;4;0;1,0;"A1
M1
M2, A2
M2, M3";4;4;4;0;1,0;"M2, M3
M1
A1
M2, A2";4;4;4;0;1,0;"M2, A2
M2, M3
M1
A1";4;1;0;1;0,0;OpenAI Error
5;5;5;0;1,0;"M1, A2
M1, M3
A1, A2
M2
A1, M3";5;5;5;0;1,0;"M2
A1, M3
M1, M3
A1, A2
M1, A2";5;5;5;0;1,0;"A2, A1
M1, M3
A2, M1
A1, M3
M2";5;5;5;0;1,0;"M2
A1, A2
A1, M3
M1, A2
M1, M3";5;5;5;0;1,0;"M1, A2
M3, M1
A1, A2
M3, A1
M2";5;5;5;0;1,0;"M1, M3
A1, M3
M2
A1, A2
M1, A2";5;5;5;0;1,0;"M2
A1, A2
A1, M3
M1, A2
M1, M3";5;5;5;0;1,0;"M1, M3
A1, M3
M2
M1, A2
A1, A2";5;5;5;0;1,0;"A1, A2
A1, M3
M2
M1, M3
M1, A2";5;1;0;1;0,0;OpenAI Error
8;8;8;0;1,0;"M1, A2
M2, A2
M2, M3
M1, M3
A1, A2
M2, M1
M2, A1
A1, M3";8;8;8;0;1,0;"A1, M3
M2, A1
M2, M3
M1, M3
M2, A2
A1, A2
M2, M1
M1, A2";8;8;8;0;1,0;"A2, A1
M1, M3
M2, A1
M2, A2
A2, M1
M2, M1
A1, M3
M2, M3";8;8;8;0;1,0;"A1, A2
A1, M3
M1, A2
M1, M3
M2, A1
M2, A2
M2, M1
M2, M3";8;8;8;0;1,0;"M1, A2
M3, M1
A1, A2
M3, A1
A2, M2
M3, M2
A1, M2
M1, M2";8;8;8;0;1,0;"M2, M3
M1, A2
M2, A1
A1, M3
M1, M3
M2, A2
A1, A2
M2, M1";8;8;8;0;1,0;"A1, A2
A1, M3
M1, A2
M1, M3
M2, A1
M2, A2
M2, M1
M2, M3";8;8;8;0;1,0;"M2, A1
M1, M3
A1, M3
M2, M3
M2, A2
M2, M1
M1, A2
A1, A2";8;8;8;0;1,0;"A1, A2
A1, M3
M2, A1
M2, A2
M2, M3
M1, A2
M1, M3
M2, M1";8;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;
3;3;3;0;1,0;"A3
A4
A6";3;3;3;0;1,0;"A4
A6
A3";3;3;3;0;1,0;"A3
A6
A4";3;3;3;0;1,0;"A3
A4
A6";3;3;3;0;1,0;"A3
A4
A6";3;3;3;0;1,0;"A6
A3
A4";3;3;3;0;1,0;"A3
A4
A6";3;3;3;0;1,0;"A3
A6
A4";3;3;3;0;1,0;"A3
A4
A6";3;3;3;0;1,0;"A6
A4
A3"
4;4;4;0;1,0;"A5
A1
A2
A7";4;4;4;0;1,0;"A1
A7
A2
A5";4;4;4;0;1,0;"A1
A7
A2
A5";4;4;4;0;1,0;"A1
A2
A5
A7";4;4;4;0;1,0;"A5
A2
A1
A7";4;4;4;0;1,0;"A7
A2
A5
A1";4;4;4;0;1,0;"A1
A2
A5
A7";4;4;4;0;1,0;"A7
A2
A5
A1";4;4;4;0;1,0;"A2
A1
A5
A7";4;4;4;0;1,0;"A2
A7
A1
A5"
12;12;12;0;1,0;"A3, A2
A6, A2
A4, A5
A6, A7
A4, A2
A3, A7
A4, A7
A6, A1
A3, A5
A3, A1
A6, A5
A4, A1";12;12;12;0;1,0;"A6, A5
A3, A1
A4, A2
A4, A5
A3, A7
A3, A2
A6, A1
A3, A5
A4, A1
A6, A7
A4, A7
A6, A2";12;12;12;0;1,0;"A2, A6
A3, A7
A3, A5
A7, A6
A6, A1
A4, A5
A7, A4
A4, A1
A4, A2
A6, A5
A3, A1
A3, A2";12;12;12;0;1,0;"A3, A1
A3, A2
A3, A5
A3, A7
A4, A1
A4, A2
A4, A5
A4, A7
A6, A1
A6, A2
A6, A5
A6, A7";12;12;12;0;1,0;"A6, A2
A6, A7
A4, A7
A1, A4
A1, A3
A3, A7
A6, A5
A1, A6
A3, A2
A4, A5
A3, A5
A4, A2";12;12;12;0;1,0;"A4, A1
A4, A7
A4, A2
A3, A5
A6, A5
A3, A1
A3, A7
A3, A2
A4, A5
A6, A1
A6, A7
A6, A2";12;12;12;0;1,0;"A3, A1
A3, A2
A3, A5
A3, A7
A4, A1
A4, A2
A4, A5
A4, A7
A6, A1
A6, A2
A6, A5
A6, A7";12;12;12;0;1,0;"A6, A1
A4, A5
A6, A5
A6, A7
A3, A2
A3, A5
A3, A1
A4, A2
A4, A1
A3, A7
A6, A2
A4, A7";12;12;12;0;1,0;"A3, A2
A4, A5
A3, A1
A6, A2
A6, A5
A4, A2
A4, A1
A6, A1
A3, A5
A3, A7
A4, A7
A6, A7";12;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;
