CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;MSO -GPT
3;3;0;0;1,0;"M1, M2, A1
M2, M3, A2
M1, M3, A1, A2"
2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7"
2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7"
0;0;0;2;0,0;No JSON
0;0;0;3;0,0;No JSON
0;0;0;3;0,0;No JSON
0;0;0;6;0,0;No JSON
0;0;0;6;0,0;No JSON
0;0;0;1;0,0;No JSON
0;0;0;1;0,0;No JSON
0;0;0;3;0,0;No JSON
2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7"
2;2;0;0;1,0;"O3, O4, O6
O1, O2, O5, O7"
0;0;0;2;0,0;No JSON
0;0;0;3;0,0;No JSON
0;0;0;3;0,0;No JSON
0;0;0;6;0,0;No JSON
0;0;0;6;0,0;No JSON
3;3;0;0;1,0;"M1, M2, A1
M2, M3, M4
M1, M3, A1, M4"
3;3;0;0;1,0;"O1, O2, A1
O2, O3, O4
O1, O3, A1, O4"
0;0;0;1;0,0;No JSON
0;0;0;1;0,0;No JSON
0;0;0;1;0,0;No JSON
