+-----+-----------------------------+-----------------------+--------------+----------------------------------------------------+-----------------------+----------------------------------------------------+-------------------+----------+----------------------------------------------------+-------------------------+
| Lp. |            Title            |       Equations       | Observations |               All minimal conflicts                | All minimal diagnosis |                 Minimal conflicts                  | Minimal diagnosis | MSO -GPT |              Minimal conflicts - GPT               | Minimal diagnosis - GPT |
+-----+-----------------------------+-----------------------+--------------+----------------------------------------------------+-----------------------+----------------------------------------------------+-------------------+----------+----------------------------------------------------+-------------------------+
|  1  |  Example 2 classic polybox  |    M1: a * c = x01    |    a = 2     |                     A1, M1, M2                     |        A1, A2         |                                                    |                   |          |                                                    |                         |
|     |                             |    M2: b * d = x02    |    b = 2     |                     A2, M2, M3                     |        A1, M2         |                                                    |                   |          |                                                    |                         |
|     |                             |    M3: c * e = x03    |    c = 3     |                   A1, A2, M1, M3                   |        A1, M3         |                                                    |                   |          |                                                    |                         |
|     |                             |   A1: x01 + x02 = f   |    d = 3     |                                                    |        A2, M1         |                                                    |                   |          |                                                    |                         |
|     |                             |   A2: x02 + x03 = g   |    e = 2     |                                                    |        A2, M2         |                                                    |                   |          |                                                    |                         |
|     |                             |                       |    f = 12    |                                                    |        M1, M2         |                                                    |                   |          |                                                    |                         |
|     |                             |                       |    g = 12    |                                                    |        M1, M3         |                                                    |                   |          |                                                    |                         |
|     |                             |                       |              |                                                    |        M2, M3         |                                                    |                   |          |                                                    |                         |
|  2  |  Example 2 classic polybox  |    M1: a * c = x01    |    a = 2     |                     A1, M1, M2                     |        A1, A2         |                     A2, M2, M3                     |        A2         |          |                     A2, M2, M3                     |                         |
|     |                             |    M2: b * d = x02    |    b = 2     |                     A2, M2, M3                     |        A1, M2         |                   A1, A2, M1, M3                   |        M3         |          |                   A1, A2, M1, M3                   |                         |
|     |                             |    M3: c * e = x03    |    c = 3     |                   A1, A2, M1, M3                   |        A1, M3         |                                                    |      A1, M2       |          |                                                    |                         |
|     |                             |   A1: x01 + x02 = f   |    d = 3     |                                                    |        A2, M1         |                                                    |      M1, M2       |          |                                                    |                         |
|     |                             |   A2: x02 + x03 = g   |    e = 2     |                                                    |        A2, M2         |                                                    |                   |          |                                                    |                         |
|     |                             |                       |    f = 12    |                                                    |        M1, M2         |                                                    |                   |          |                                                    |                         |
|     |                             |                       |    g = 10    |                                                    |        M1, M3         |                                                    |                   |          |                                                    |                         |
|     |                             |                       |              |                                                    |        M2, M3         |                                                    |                   |          |                                                    |                         |
|  3  |  Example 2 classic polybox  |    M1: a * c = x01    |    a = 2     |                     A1, M1, M2                     |        A1, A2         |                     A1, M1, M2                     |        A1         |          |                     A1, M1, M2                     |                         |
|     |                             |    M2: b * d = x02    |    b = 2     |                     A2, M2, M3                     |        A1, M2         |                   A1, A2, M1, M3                   |        M1         |          |                   A1, A2, M1, M3                   |                         |
|     |                             |    M3: c * e = x03    |    c = 3     |                   A1, A2, M1, M3                   |        A1, M3         |                                                    |      A2, M2       |          |                                                    |                         |
|     |                             |   A1: x01 + x02 = f   |    d = 3     |                                                    |        A2, M1         |                                                    |      M2, M3       |          |                                                    |                         |
|     |                             |   A2: x02 + x03 = g   |    e = 2     |                                                    |        A2, M2         |                                                    |                   |          |                                                    |                         |
