CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;MSO -GPT
3;3;0;0;1,0;"M1, M2, A1
M2, M3, A2
M1, M3, A1, A2"
2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7"
2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7"
2;2;0;0;1,0;"M2, A2, A4
A1, M1, A3, M3"
3;3;0;0;1,0;"A2, A3, M2, M3, M4
A1, A2, M1, M2, A4
A1, A3, M1, M3, A4, M4"
3;3;0;0;1,0;"M3, M4
A1, M1, M2, A2, M3
A1, M1, M2, A2, M4"
3;3;0;3;0,5;"M5, A5, A6
A1, M1, M3, A4, M5
A2, A3, M2, M4, A6"
2;2;0;4;0,3333333333333333;"M1, M2, A1, A5, M7
M5, M6, A4, M8, A6"
1;1;0;0;1,0;A1
1;1;0;0;1,0;A1, A2, O1
3;3;0;0;1,0;"O1, O2, A1
O2, O3, A2
O1, O3, A1, A2"
2;2;0;0;1,0;"A3, A4, A6
A1, A2, A5, A7"
2;2;0;0;1,0;"O3, O4, O6
O1, O2, O5, O7"
2;2;0;0;1,0;"O2, A2, A4
A1, O1, A3, O3"
0;0;0;3;0,0;
3;3;0;0;1,0;"O3, O4
A1, O1, O2, A2, O3
A1, O1, O2, A2, O4"
2;2;0;4;0,3333333333333333;"A1, O1, O3, A4, O5
A2, O2, A3, O4, A6"
2;2;0;4;0,3333333333333333;"O1, O2, A1, A5, O7
O5, O6, A4, A6, O8"
3;3;0;0;1,0;"M1, M2, A1
M2, M3, M4
M1, M3, A1, M4"
0;0;0;3;0,0;
1;1;0;0;1,0;NA1, NO2, NX1
1;1;0;0;1,0;A1
1;1;0;0;1,0;A1, A2, M1
