+-----------------+----------------------------+---------------------+-----------------+-----------------------+-----------------------+-------------------+-------------------+-------------------------+-------------------------+
|       Lp.       |           Title            |      Equations      |  Observations   | All minimal conflicts | All minimal diagnosis | Minimal conflicts | Minimal diagnosis | Minimal conflicts - GPT | Minimal diagnosis - GPT |
+-----------------+----------------------------+---------------------+-----------------+-----------------------+-----------------------+-------------------+-------------------+-------------------------+-------------------------+
|        1        |         Example 0          |    A1: a + b = c    |      a = 1      |          A1           |          A1           |                   |                   |                         |           A1            |
|                 |                            |                     |      b = 1      |                       |                       |                   |                   |                         |                         |
|                 |                            |                     |      c = 2      |                       |                       |                   |                   |                         |                         |
| --------------- |      ---------------       |   ---------------   | --------------- |    ---------------    |    ---------------    |  ---------------  |  ---------------  |     ---------------     |     ---------------     |
|        2        |         Example 0          |    A1: a + b = c    |      a = 1      |          A1           |          A1           |        A1         |        A1         |                         |                         |
|                 |                            |                     |      b = 1      |                       |                       |                   |                   |                         |                         |
|                 |                            |                     |      c = 1      |                       |                       |                   |                   |                         |                         |
| --------------- |      ---------------       |   ---------------   | --------------- |    ---------------    |    ---------------    |  ---------------  |  ---------------  |     ---------------     |     ---------------     |
|        3        | Example 1 inverted polybox |   A1: a + b = x01   |      a = 1      |      A1, A2, M1       |          A1           |                   |                   |                         |                         |
|                 |                            |   A2: c + d = x02   |      b = 1      |                       |          A2           |                   |                   |                         |                         |
|                 |                            |  M1: x01 * x02 = e  |      c = 1      |                       |          M1           |                   |                   |                         |                         |
|                 |                            |                     |      d = 1      |                       |                       |                   |                   |                         |                         |
|                 |                            |                     |      e = 4      |                       |                       |                   |                   |                         |                         |
| --------------- |      ---------------       |   ---------------   | --------------- |    ---------------    |    ---------------    |  ---------------  |  ---------------  |     ---------------     |     ---------------     |
|        4        | Example 1 inverted polybox |   A1: a + b = x01   |      a = 1      |      A1, A2, M1       |          A1           |    A1, A2, M1     |        A1         |       A1, A2, M1        |           A1            |
|                 |                            |   A2: c + d = x02   |      b = 1      |                       |          A2           |                   |        A2         |                         |           A2            |
|                 |                            |  M1: x01 * x02 = e  |      c = 1      |                       |          M1           |                   |        M1         |                         |           M1            |
|                 |                            |                     |      d = 1      |                       |                       |                   |                   |                         |                         |
|                 |                            |                     |      e = 2      |                       |                       |                   |                   |                         |                         |
| --------------- |      ---------------       |   ---------------   | --------------- |    ---------------    |    ---------------    |  ---------------  |  ---------------  |     ---------------     |     ---------------     |
|        5        | Example 2 classic polybox  |   M1: a * c = x01   |      a = 2      |      A1, M1, M2       |        A1, A2         |                   |                   |                         |                         |
|                 |                            |   M2: b * d = x02   |      b = 2      |      A2, M2, M3       |        A1, M2         |                   |                   |                         |                         |
|                 |                            |   M3: c * e = x03   |      c = 3      |    A1, A2, M1, M3     |        A1, M3         |                   |                   |                         |                         |
|                 |                            |  A1: x01 + x02 = f  |      d = 3      |                       |        A2, M1         |                   |                   |                         |                         |
|                 |                            |  A2: x02 + x03 = g  |      e = 2      |                       |        A2, M2         |                   |                   |                         |                         |
|                 |                            |                     |     f = 12      |                       |        M1, M2         |                   |                   |                         |                         |
|                 |                            |                     |     g = 12      |                       |        M1, M3         |                   |                   |                         |                         |
|                 |                            |                     |                 |                       |        M2, M3         |                   |                   |                         |                         |
| --------------- |      ---------------       |   ---------------   | --------------- |    ---------------    |    ---------------    |  ---------------  |  ---------------  |     ---------------     |     ---------------     |
|        6        | Example 2 classic polybox  |   M1: a * c = x01   |      a = 2      |      A1, M1, M2       |        A1, A2         |    A2, M2, M3     |        A2         |                         |           A1            |
|                 |                            |   M2: b * d = x02   |      b = 2      |      A2, M2, M3       |        A1, M2         |  A1, A2, M1, M3   |        M3         |                         |           M1            |
|                 |                            |   M3: c * e = x03   |      c = 3      |    A1, A2, M1, M3     |        A1, M3         |                   |      A1, M2       |                         |         A2, M2          |
|                 |                            |  A1: x01 + x02 = f  |      d = 3      |                       |        A2, M1         |                   |      M1, M2       |                         |         M2, M3          |
